acc_num,seq_len,description,record_date,organism,segment_source,cds,host,isolate_source,isolate_name,country_region,collection_date,e_value,pcnt_id,align_len
KF039948.1,421,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate TAZ-94 glycoprotein precursor, gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,serum,TAZ-94,Kosovo,01-Oct-2012,1.67009e-97,99.28571428571429,140
KF039947.1,421,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate TAZ-122 glycoprotein precursor, gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,serum,TAZ-122,Kosovo,01-Oct-2012,3.49387e-96,97.14285714285714,140
KF039946.1,421,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate TAZ-117 glycoprotein precursor, gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,serum,TAZ-117,Kosovo,01-Oct-2012,1.67009e-97,99.28571428571429,140
KF039945.1,421,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate TAZ-111 glycoprotein precursor, gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,serum,TAZ-111,Kosovo,01-Oct-2012,2.27677e-97,99.28571428571429,140
KF039944.1,421,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate TAZ-105 glycoprotein precursor, gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,serum,TAZ-105,Kosovo,01-Oct-2012,4.06186e-98,100.0,140
KF039943.1,421,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate TAZ-102 glycoprotein precursor, gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,serum,TAZ-102,Kosovo,01-Oct-2012,4.80943e-96,96.42857142857143,140
KF039942.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-207 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-207,Kosovo,01-Oct-2012,0.0,100.0,369
KF039941.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-206 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-206,Kosovo,01-Oct-2012,0.0,100.0,369
KF039940.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-205 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-205,Kosovo,01-Oct-2012,0.0,100.0,369
KF039939.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-204 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-204,Kosovo,01-Oct-2012,0.0,100.0,369
KF039938.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-202 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-202,Kosovo,01-Oct-2012,0.0,100.0,369
KF039937.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-200 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-200,Kosovo,01-Oct-2012,0.0,100.0,369
KF039936.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-198 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-198,Kosovo,01-Oct-2012,0.0,100.0,369
KF039935.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-197 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-197,Kosovo,01-Oct-2012,0.0,100.0,369
KF039934.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-196 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-196,Kosovo,01-Oct-2012,0.0,100.0,369
KF039933.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-195 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-195,Kosovo,01-Oct-2012,0.0,100.0,369
KF039932.1,1109,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-194 nucleoprotein gene, partial cds",12-MAR-2014,Orthonairovirus haemorrhagiae,S,nucleoprotein,Homo sapiens,serum,KS-194,Kosovo,01-Oct-2012,0.0,100.0,369
KC477837.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-184 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-184,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477836.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-183 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-183,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477835.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-182 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-182,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477834.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-181 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-181,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477833.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-179 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-179,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477832.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-178 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-178,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477831.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-134 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-134,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477830.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-133 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-133,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477829.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-131 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-131,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477828.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-130 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-130,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477827.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-123 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-123,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477826.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-122 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-122,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477825.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-121 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-121,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477824.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-117 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-117,Kosovo,01-Oct-2012,7.25159e-88,99.2248062015504,129
KC477823.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-116 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-116,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477822.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-114 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-114,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477821.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-111 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-111,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477820.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-105 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-105,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477819.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-102 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-102,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477818.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-101 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-101,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477817.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-97 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-97,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477816.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-95 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-95,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477815.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-91 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-91,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477814.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-86 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-86,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477813.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-85 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-85,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477812.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-83 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-83,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477811.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-67 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-67,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477810.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-57 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-57,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477809.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-56 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-56,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477808.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-54 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-54,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477807.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-45 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-45,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477806.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-42 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-42,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477805.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-41 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-41,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477804.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-38 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-38,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477803.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-29 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-29,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477802.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-28 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-28,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477801.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-27 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-27,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477800.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-24 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-24,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477799.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-16 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-16,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477798.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-3 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-3,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC477797.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-172 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-172,Kosovo,01-Oct-2012,0.0,99.7289972899729,369
KC477796.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-165 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-165,Kosovo,01-Oct-2012,0.0,100.0,369
KC477795.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-164 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-164,Kosovo,01-Oct-2012,0.0,100.0,369
KC477794.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-154 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-154,Kosovo,01-Oct-2012,0.0,100.0,369
KC477793.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-153 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-153,Kosovo,01-Oct-2012,0.0,99.7289972899729,369
KC477792.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-152 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-152,Kosovo,01-Oct-2012,0.0,100.0,369
KC477791.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-150 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-150,Kosovo,01-Oct-2012,0.0,100.0,369
KC477790.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-149 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-149,Kosovo,01-Oct-2012,0.0,99.7289972899729,369
KC477789.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-147 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-147,Kosovo,01-Oct-2012,0.0,100.0,369
KC477788.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-146 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-146,Kosovo,01-Oct-2012,0.0,100.0,369
KC477787.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-129 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-129,Kosovo,01-Oct-2012,0.0,100.0,369
KC477786.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-94 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-94,Kosovo,01-Oct-2012,0.0,100.0,369
KC477785.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-88 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-88,Kosovo,01-Oct-2012,0.0,99.7289972899729,369
KC477784.1,1109,"Crimean-Congo hemorrhagic fever virus isolate KS-80 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-80,Kosovo,01-Oct-2012,0.0,100.0,369
KC477783.1,220,"Crimean-Congo hemorrhagic fever virus isolate KS-189 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-189,Kosovo,01-Oct-2012,2.88787e-49,100.0,73
KC477782.1,220,"Crimean-Congo hemorrhagic fever virus isolate KS-188 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-188,Kosovo,01-Oct-2012,2.88787e-49,100.0,73
KC477781.1,220,"Crimean-Congo hemorrhagic fever virus isolate KS-197 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-197,Kosovo,01-Oct-2012,2.88787e-49,100.0,73
KC477780.1,220,"Crimean-Congo hemorrhagic fever virus isolate KS-185 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-185,Kosovo,01-Oct-2012,2.88787e-49,100.0,73
KC477779.1,389,"Crimean-Congo hemorrhagic fever virus isolate KS-1 nucleoprotein gene, partial cds",27-JAN-2014,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,KS-1,Kosovo,01-Oct-2012,3.43969e-88,100.0,129
KC846094.1,499,"Crimean-Congo hemorrhagic fever virus strain Albania-178-2004 nucleoprotein gene, partial cds",26-NOV-2013,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,,Albania,Jun-2004,8.91106e-116,99.3975903614458,166
KC846093.1,464,"Crimean-Congo hemorrhagic fever virus nucleoprotein gene, partial cds",26-NOV-2013,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,,Albania23/2003,Albania,May-2003,7.18471e-108,100.0,155
KF496921.1,435,"Crimean-Congo hemorrhagic fever virus isolate Astrakhan-5185 glycoprotein gene, partial cds",18-NOV-2013,Orthonairovirus haemorrhagiae,,glycoprotein,Homo sapiens,human blood,Astrakhan-5185,Russia: Astrakhan region,2011,1.14915e-98,96.55172413793103,145
KF496920.1,486,"Crimean-Congo hemorrhagic fever virus isolate Astrakhan-5185 nucleocapsid protein gene, partial cds",18-NOV-2013,Orthonairovirus haemorrhagiae,,nucleocapsid protein,Homo sapiens,human blood,Astrakhan-5185,Russia: Astrakhan region,2011,1.27162e-113,99.37888198757764,161
KF494375.1,538,"Crimean-Congo hemorrhagic fever virus isolate Astrakhan-5185 nucleocapsid protein gene, partial cds",18-NOV-2013,Orthonairovirus haemorrhagiae,,nucleocapsid protein,Homo sapiens,human blood,Astrakhan-5185,Russia: Astrakhan region,2011,1.21575e-122,97.76536312849163,179
KC869993.1,231,"Crimean-Congo hemorrhagic fever virus isolate CCHF-55-2008PAK nucleocapsid (S) gene, partial cds",27-MAY-2013,Orthonairovirus haemorrhagiae,,nucleocapsid,Homo sapiens,blood,CCHF-55-2008PAK,Pakistan,2008,3.3043e-49,93.5064935064935,77
KC869992.1,231,"Crimean-Congo hemorrhagic fever virus isolate CCHF-26-2008PAK nucleocapsid (S) gene, partial cds",27-MAY-2013,Orthonairovirus haemorrhagiae,,nucleocapsid,Homo sapiens,blood,CCHF-26-2008PAK,Pakistan,2008,3.3043e-49,93.5064935064935,77
KC869991.1,231,"Crimean-Congo hemorrhagic fever virus isolate CCHF-60-2008PAK nucleocapsid (S) gene, partial cds",27-MAY-2013,Orthonairovirus haemorrhagiae,,nucleocapsid,Homo sapiens,blood,CCHF-60-2008PAK,Pakistan,2008,3.3043e-49,93.5064935064935,77
KC869990.1,231,"Crimean-Congo hemorrhagic fever virus isolate CCHF-56-2008PAK nucleocapsid (S) gene, partial cds",27-MAY-2013,Orthonairovirus haemorrhagiae,,nucleocapsid,Homo sapiens,blood,CCHF-56-2008PAK,Pakistan,2008,1.17843e-48,92.20779220779221,77
KC869989.1,231,"Crimean-Congo hemorrhagic fever virus isolate CCHF-21-2008PAK nucleocapsid (S) gene, partial cds",27-MAY-2013,Orthonairovirus haemorrhagiae,,nucleocapsid,Homo sapiens,blood,CCHF-21-2008PAK,Pakistan,2008,3.69753e-47,90.9090909090909,77
KC869988.1,231,"Crimean-Congo hemorrhagic fever virus isolate CCHF-20-2008PAK nucleocapsid (S) gene, partial cds",27-MAY-2013,Orthonairovirus haemorrhagiae,,nucleocapsid,Homo sapiens,blood,CCHF-20-2008PAK,Pakistan,2008,3.3043e-49,93.5064935064935,77
KC344856.1,5369,"Crimean-Congo hemorrhagic fever virus strain SCT ex Afghanistan, complete sequence",24-MAY-2013,Orthonairovirus haemorrhagiae,,envelope glycoprotein precursor,Homo sapiens,serum from CCHF patient with fatal infection,,Afghanistan,03-Oct-2012,0.0,84.15430267062315,1685
KC344855.1,12168,"Crimean-Congo hemorrhagic fever virus strain SCT ex Afghanistan segment L, complete sequence",24-MAY-2013,Orthonairovirus haemorrhagiae,L,RdRp,Homo sapiens,serum from CCHF patient with fatal infection,,Afghanistan,03-Oct-2012,0.0,96.62864385297846,3945
JX908640.1,1673,"Crimean-Congo hemorrhagic fever virus strain SCT ex Afghanistan segment S, complete sequence",24-MAY-2013,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,serum from CCHF patient with fatal infection,,Afghanistan,03-Oct-2012,0.0,96.6804979253112,482
JQ692582.1,207,"Crimean-Congo hemorrhagic fever virus strain F184 Bara nucleoprotein gene, partial cds",24-MAY-2013,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,serum,,Sudan,Oct-2011,1.07093e-45,97.05882352941177,68
JQ686212.1,207,"Crimean-Congo hemorrhagic fever virus strain Abu Zabad F183 nucleoprotein gene, partial cds",24-MAY-2013,Orthonairovirus haemorrhagiae,,nucleoprotein,Homo sapiens,serum,,Sudan,Oct-2011,1.07093e-45,97.05882352941177,68
JX227939.1,987,"Crimean-Congo hemorrhagic fever virus strain Quetta-S 2011 nucleocapsid protein gene, partial cds",15-APR-2013,Orthonairovirus haemorrhagiae,,nucleocapsid protein,Homo sapiens; fatal,,,Pakistan,2011,0.0,97.84946236559139,279
KC150005.1,724,"Crimean-Congo hemorrhagic fever virus isolate Yozgat 327-2011 envelope glycoprotein precursor, gene, partial cds",30-JAN-2013,Orthonairovirus haemorrhagiae,M,envelope glycoprotein precursor,Homo sapiens,serum from male,Yozgat 327-2011,Turkey,2011,1.66266e-167,96.66666666666667,240
KC150004.1,824,"Crimean-Congo hemorrhagic fever virus isolate Kirklareli 707-2012 envelope glycoprotein precursor, gene, partial cds",30-JAN-2013,Orthonairovirus haemorrhagiae,M,envelope glycoprotein precursor,Homo sapiens,serum from male,Kirklareli 707-2012,Turkey,2012,0.0,97.8102189781022,274
KC150003.1,801,"Crimean-Congo hemorrhagic fever virus isolate Edirne 622-2012 envelope glycoprotein precursor, gene, partial cds",30-JAN-2013,Orthonairovirus haemorrhagiae,M,envelope glycoprotein precursor,Homo sapiens,serum from male,Edirne 622-2012,Turkey,2012,0.0,97.74436090225564,266
KC150002.1,661,"Crimean-Congo hemorrhagic fever virus isolate Kastamonu 170-2012 envelope glycoprotein precursor, gene, partial cds",30-JAN-2013,Orthonairovirus haemorrhagiae,M,envelope glycoprotein precursor,Homo sapiens,serum from female,Kastamonu 170-2012,Turkey,2012,7.45213e-155,98.18181818181819,220
KC150001.1,684,"Crimean-Congo hemorrhagic fever virus isolate Kastamonu 241-2012 envelope glycoprotein precursor, gene, partial cds",30-JAN-2013,Orthonairovirus haemorrhagiae,M,envelope glycoprotein precursor,Homo sapiens,serum from female,Kastamonu 241-2012,Turkey,2012,2.12419e-160,97.80701754385966,228
KC150000.1,825,"Crimean-Congo hemorrhagic fever virus isolate Kastamonu 169-2012 envelope glycoprotein precursor, gene, partial cds",30-JAN-2013,Orthonairovirus haemorrhagiae,M,envelope glycoprotein precursor,Homo sapiens,serum from female,Kastamonu 169-2012,Turkey,2012,0.0,98.54014598540147,274
JF807435.1,518,"Crimean-Congo hemorrhagic fever virus strain V53/05 nucleocapsid protein gene, partial cds",30-SEP-2012,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,cultivated by intracranial inoculation of newborn mice,Plovdiv,Bulgaria,2005,3.81853e-119,99.41520467836257,171
JF807434.1,886,"Crimean-Congo hemorrhagic fever virus strain V53/05 glycoprotein precursor, gene, partial cds",30-SEP-2012,Orthonairovirus haemorrhagiae,M,glycoprotein precursor,Homo sapiens,cultivated by intracranial inoculation of newborn mice,Plovdiv,Bulgaria,2005,0.0,97.61092150170649,293
JF807433.1,508,"Crimean-Congo hemorrhagic fever virus strain V48/06 nucleocapsid protein gene, partial cds",30-SEP-2012,Orthonairovirus haemorrhagiae,S,nucleocapsid protein,Homo sapiens,cultivated by intracranial inoculation of newborn mice,Plovdiv,Bulgaria,2006,5.73565e-117,99.40476190476191,168
