Authors,Title,Journal,PMID,Year,accession,RefID,FirstAuthorSurname,ShortName
"Volynkina A., Burlachenko A., Lisitskaya Y., Kotenev E.",Direct Submission," Laboratory of Natural-Focal Infections, Stavropol State Research Anti-Plague Institute, Sovetskaya str. 13-15, Stavropol, Stavropol region 355017, Russian Federation",,2015,"KR822022, KR822021, KR822020, KR822019, KR822018, KR822017, KR822016, KR822015, KR822014, KR822013, KR822012, KR822011, KR822010, KR822009, KR822008, KR822007, KR822006, KR822005, KR822004, KR822003, KR822002, KR822001, KR822000, KR821999, KR821998, KR821997, KR821996, KR821995, KR821994, KR821993, KR821992, KR821991, KR821990, KR821989, KR821988, KR821987, KR821986, KR821985, KR821984, KR821983, KR821982, KR821981, KR821980, KR821979, KR821978, KR821977, KR821976, KR821975, KR821974, KR821973, KR821972, KR821971, KR821970, KR821969, KR821968, KR821967, KR821966, KR821965, KR821964, KR821963, KR821962, KR821961, KR821960, KR821959, KR821958, KR821957, KR821956, KR821955, KR821954, KR821953, KR821952, KR821951, KR821950, KR821949, KR821948, KR821947, KR821946, KR821945, KR821944, KR821943, KR821942, KR821941, KR821940, KR821939, KR821938, KR821937, KR821936, KR821935, KR821934, KR821933, KR821932, KR821931, KR821930, KR821929, KR821928, KR821927, KR821926, KR821925, KR821924, KR821923, KR821922, KR821921, KR821920, KR821919, KR821918, KR821917, KR821916, KR821915, KR821914, KR821913, KR821912, KR821911, KR821910, KR821909, KR821908, KR821907, KR821906, KR821905, KR821904, KR821903, KR821902, KR821901, KR821900, KR821899, KR821898, KR821897, KR821896, KR821895, KR821894, KR821893, KR821892, KR821891, KR821890, KR821889, KR821888, KR821887, KR821886, KR821885, KR821884, KR821883, KR821882, KR821881, KR821880, KR821879, KR821878, KR821877, KR821876, KR821875, KR821874, KR821873, KR821872, KR821871, KR821870, KR821869, KR821868, KR821867, KR821866, KR821865, KR821864, KR821863, KR821862, KR821861, KR821860, KR821859, KR821858, KR821857, KR821856, KR821855, KR821854, KR821853, KR821852, KR821851, KR821850, KR821849, KR821848, KR821847, KR821846, KR821845, KR821844, KR821843, KR821842, KR821841, KR821840, KR821839, KR821838, KR821837, KR821836, KR821835, KR821834, KR821833, KR821832, KR821831, KR821830, KR821829, KR821828, KR821827, KR821826, KR821825, KR821824, KR821823, KR821822, KR821821, KR821820, KR821819, KR821818, KR821817, KR821816, KR821815, KR821814, KR821813, KR821812, KR821811, KR821810, KR821809, KR821808, KR821807, KR821806, KR821805, KR821804, KR821803, KR821802, KR821801, KR821800, KR821799, KR821798, KR821797, KR821796, KR821795, KR821794, KR821793, KR821792, KR821791, KR821790, KR821789, KR821788, KR821787, KR821786, KR821785, KR821784, KR821783, KR821782, KR821781, KR821780, KR821779, KR821778, KR821777, KR821776, KR821775, KR821774, KR821773, KR821772, KR821771, KR821770, KR821769, KR821768, KR821767, KR821766, KR821765, KR821764, KR821763, KR821762, KR821761, KR821760, KR821759, KR821758, KR821757, KR821756, KR821755, KR821754, KR821753, KR821752, KR821751, KR821750, KR821749, KR821748, KR821747, KR821746, KR821745, KR821744, KR821743, KR821742, KR821741, KR821740, KR821739, KR821738, KR821737, KR821736, KR821735, KR821734, KR821733, KR821732, KR821731, KR821730, KR821729, KR821728, KR821727, KR821726, KR821725, KR821724, KR821723, KR821722, KR821721, KR821720, KR821719, KR821718, KR821717, KR821716, KR821715, KR821714, KR821713, KR821712, KR821711, KR821710, KR821709, KR821708, KR821707, KR821706, KR821705, KR821704, KR821703, KR821702, KR821701, KR821700, KR821699, KR821698, KR821697, KR821696, KR821695, KR821694, KR821693, KR821692, KR821691, KR821690, KR821689, KR821688, KR821687, KR821686, KR821685, KR821684, KR821683, KR821682, KR821681, KR821680, KR821679, KR821678, KR821677, KR821676, KR821675, KR821674, KR821673, KR821672, KR821671, KR821670, KR821669, KR821668, KR821667, KR821666, KR821665, KR821664, KR821663, KR821662, KR821661, KR821660, KR821659, KR821658, KR821657, KR821656, KR821655, KR821654, KR821653, KR821652, KR821651, KR821650, KR821649, KR821648, KR821647, KR821646, KR821645, KR821644, KR821643, KR821642, KR821641, KR821640, KR821639, KR821638, KR821637, KR821636, KR821635, KR821634, KR821633, KR821632, KR821631, KR821630, KR821629, KR821628, KR821627, KR821626, KR821625, KR821624, KR821623, KR821622, KR821621, KR821620, KR821619, KR821618, KR821617, KR821616, KR821615, KR821614, KR821613, KR821612, KR821611, KR821610, KR821609, KR821608, KR821607, KR821606, KR821605, KR821604, KR821603, KR821602, KR821601, KR821600, KR821599, KR821598, KR821597, KR821596, KR821595, KR821594, KR821593, KR821592, KR821591, KR821590, KR821589, KR821588, KR821587, KR821586, KR821585, KR821584, KR821583, KR821582, KR821581, KR821580, KR821579, KR821578, KR821577, KR821576, KR821575, KR821574, KR821573, KR821572, KR821571, KR821570, KR821569, KR821568, KR821567, KR821566, KR821565, KR821564, KR821563, KR821562, KR821561, KR821560, KR821559, KR821558, KR821557, KR821556, KR821555, KR821554, KR821553, KR821552, KR821551, KR821550, KR821549, KR821548, KR821547, KR821546, KR821545, KR821544, KR821543, KR821542, KR821541, KR821540, KR821539, KR821538, KR821537, KR821536, KR821535, KR821534, KR821533, KR821532, KR821531, KR821530, KR821529, KR821528, KR821527, KR821526, KR821525, KR821524, KR821523, KR821522, KR821521, KR821520, KR821519, KR821518, KR821517, KR821516, KR821515, KR821514, KR821513, KR821512, KR821511, KR821510, KR821509, KR821508, KR821507, KR821506, KR821505, KR821504, KR821503, KR821502, KR821501, KR821500, KR821499, KR821498, KR821497, KR821496, KR821495, KR821494, KR821493, KR821492, KR821491, KR821490, KR821489, KR821488, KR821487, KR821486, KR821485, KR821484, KR821483, KR821482, KR821481, KR821480, KR821479, KR821478, KR821477, KR821476, KR821475, KR821474, KR821473, KR821472, KR821471, KR821470, KR821469, KR821468, KR821467, KR821466, KR821465, KR821464, KR821463, KR821462, KR821461, KR821460, KR821459, KR821458, KR821457, KR821456, KR821455, KR821454, KR821453, KR821452, KR821451, KR821450, KR821449, KR821448, KR821447, KR821446, KR821445, KR821444, KR821443, KR821442, KR821441, KR821440, KR821439, KR821438, KR821437, KR821436, KR821435, KR821434, KR821433, KR821432, KR821431, KR821430, KR821429, KR821428, KR821427, KR821426, KR821425, KR821424, KR821423, KR821422, KR821421, KR821420, KR821419, KR821418, KR821417, KR821416, KR821415, KR821414, KR821413, KR821412, KR821411, KR821410, KR821409, KR821408, KR821407, KR821406, KR821405, KR821404, KR821403, KR821402, KR821401, KR821400, KR821399, KR821398, KR821397, KR821396, KR821395, KR821394, KR821393, KR821392, KR821391, KR821390, KR821389, KR821388, KR821387, KR821386, KR821385, KR821384, KR821383, KR821382, KR821381, KR821380, KR821379, KR821378, KR821377, KR821376, KR821375, KR821374, KR821373, KR821372, KR821371, KR821370, KR821369, KR821368, KR821367, KR821366, KR821365, KR821364, KR821363, KR821362, KR821361, KR821360, KR821359, KR821358, KR821357, KR821356, KR821355, KR821354, KR821353, KR821352, KR821351, KR821350, KR821349, KR821348, KR821347, KR821346, KR821345, KR821344, KR821343, KR821342, KR821341, KR821340, KR821339, KR821338, KR821337, KR821336, KR821335, KR821334, KR821333, KR821332, KR821331, KR821330, KR821329, KR821328, KR821327, KR821326, KR821325, KR821324, KR821323, KR821322, KR821321, KR821320, KR821319, KR821318, KR821317, KR821316, KR821315, KR821314, KR821313, KR821312, KR821311, KR821310, KR821309, KR821308, KR821307, KR821306, KR821305, KR821304, KR821303, KR821302, KR821301, KR821300, KR821299, KR821298, KR821297, KR821296, KR821295, KR821294, KR821293, KR821292, KR821291, KR821290, KR821289, KR821288, KR821287, KR821286, KR821285, KR821284, KR821283, KR821282, KR821281, KR821280, KR821279, KR821278, KR821277, KR821276, KR821275, KR821274, KR821273, KR821272, KR821271, KR821270, KR821269, KR821268, KR821267, KR821266, KR821265, KR821264, KR821263, KR821262, KR821261, KR821260, KR821259, KR821258, KR821257, KR821256, KR821255, KR821254, KR821253, KR821252, KR821251, KR821250, KR821249, KR821248, KR821247, KR821246, KR821245, KR821244, KR821243, KR821242, KR821241, KR821240, KR821239, KR821238, KR821237, KR821236, KR821235, KR821234, KR821233, KR821232, KR821231, KR821230, KR821229, KR821228, KR821227, KR821226, KR821225, KR821224, KR821223, KR821222, KR821221, KR821220, KR821219, KR821218, KR821217, KR821216, KR821215, KR821214, KR821213, KR821212, KR821211, KR821210, KR821209, KR821208, KR821207, KR821206, KR821205, KR821204, KR821203, KR821202, KR821201, KR821200, KR821199, KR821198, KR821197, KR821196, KR821195, KR821194, KR821193, KR821192, KR821191, KR821190, KR821189, KR821188, KR821187, KR821186, KR821185, KR821184, KR821183, KR821182, KR821181, KR821180, KR821179, KR821178, KR821177, KR821176, KR821175, KR821174, KR821173, KR821172, KR821171, KR821170, KR815339, KR815338, KR815337, KR815336, KR815335, KR815334, KR815333, KR815332, KR815331, KR815330, KR815329, KR815328, KR815327, KR815326, KR815325, KR815324, KR815323, KR815322, KR815321, KR815320, KR815319, KR815318, KR815317, KR815316, KR815315, KR815314, KR815313, KR815312, KR815311, KR815310, KR815309, KR815308, KR815307, KR815306, KR815305, KR815304, KR815303, KR815302, KR815301, KR815300, KR815299, KR815298, KR815297, KR815296, KR815295, KR815294, KR815293, KR815292, KR815291, KR815290, KR815289, KR815288, KR815287, KR815286, KR815285, KR815284, KR815283, KR815282, KR815281, KR815280, KR815279, KR815278, KR815277, KR815276, KR815275, KR815274, KR815273, KR815272, KR815271, KR815270, KR815269, KR815268, KR815267, KR815266, KR815265, KR815264, KR815263, KR815262, KR815261, KR815260, KR815259, KR815258, KR815257, KR815256, KR815255, KR815254, KR815253, KR815252, KR815251, KR815250, KR815249, KR815248, KR815247, KR815246, KR815245, KR815244, KR815243, KR815242, KR815241, KR815240, KR815239, KR815238, KR815237, KR815236, KR815235, KR815234, KR815233, KR815232, KR815231, KR815230, KR815229, KR815228, KR815227, KR815226, KR815225, KR815224, KR815223, KR815222, KR815221, KR815220, KR815219, KR815218, KR815217, KR815216, KR815215, KR815214, KR815213, KR815212, KR815211, KR815210, KR815209, KR815208, KR815207, KR815206, KR815205, KR815204, KR815203, KR815202, KR815201, KR815200, KR815199, KR815198, KR815197, KR815196, KR815195, KR815194, KR815193, KR815192, KR815191, KR815190, KR815189, KR815188, KR815187, KR815186, KR815185, KR815184, KR815183, KR815182, KR815181, KR815180, KR815179, KR815178, KR815177, KR815176, KR815175, KR815174, KR815173, KR815172, KR815171, KR815170, KR815169, KR815168, KR815167, KR815166, KR815165, KR815164, KR815163, KR815162, KR815161, KR815160, KR815159, KR815158, KR815157, KR815156, KR815155, KR815154, KR815153, KR815152, KR815151, KR815150, KR815149, KR815148, KR815147, KR815146, KR815145, KR815144, KR815143, KR815142, KR815141, KR815140, KR815139, KR815138, KR815137, KR815136, KR815135, KR815134, KR815133, KR815132, KR815131, KR815130, KR815129, KR815128, KR815127, KR815126, KR815125, KR815124, KR815123, KR815122, KR815121, KR815120, KR815119, KR815118, KR815117, KR815116, KR815115, KR815114, KR815113, KR815112, KR815111, KR815110, KR815109, KR815108, KR815107, KR815106, KR815105, KR815104, KR815103, KR815102, KR815101, KR815100, KR815099, KR815098, KR815097, KR815096, KR815095, KR815094, KR815093, KR815092, KR815091, KR815090, KR815089, KR815088, KR815087, KR815086, KR815085, KR815084, KR815083, KR815082, KR815081, KR815080, KR815079, KR815078, KR815077, KR815076, KR815075, KR815074, KR815073, KR815072, KR815071, KR815070, KR815069, KR815068, KR815067, KR815066, KR815065, KR815064, KR815063, KR815062, KR815061, KR815060, KR815059, KR815058, KR815057, KR815056, KR815055, KR815054, KR815053, KR815052, KR815051, KR815050, KR815049, KR815048, KR815047, KR815046, KR815045, KR815044, KR815043, KR815042, KR815041, KR815040, KR815039, KR815038, KR815037, KR815036, KR815035, KR815034, KR815033, KR815032, KR815031, KR815030, KR815029, KR815028, KR815027, KR815026, KR815025, KR815024, KR815023, KR815022, KR815021, KR815020, KR815019, KR815018, KR815017, KR815016, KR815015, KR815014, KR815013, KR815012, KR815011, KR815010, KR815009, KR815008, KR815007, KR815006, KR815005, KR815004, KR815003, KR815002, KR815001, KR815000, KR814999, KR814998, KR814997, KR814996, KR814995, KR814994, KR814993, KR814992, KR814991, KR814990, KR814989, KR814988, KR814987, KR814986, KR814985, KR814984, KR814983, KR814982, KR814981, KR814980, KR814979, KR814978, KR814977, KR814976, KR814975, KR814974, KR814973, KR814972, KR814971, KR814970, KR814969, KR814968, KR814967, KR814966, KR814965, KR814964, KR814963, KR814962, KR814961, KR814960, KR814959, KR814958, KR814957, KR814956, KR814955, KR814954, KR814953, KR814952, KR814951, KR814950, KR814949, KR814948, KR814947, KR814946, KR814945, KR814944, KR814943, KR814942, KR814941, KR814940, KR814939, KR814938, KR814937, KR814936, KR814935, KR814934, KR814933, KR814932, KR814931, KR814930, KR814929, KR814928, KR814927, KR814926, KR814925, KR814924, KR814923, KR814922, KR814921, KR814920, KR814919, KR814918, KR814917, KR814916, KR814915, KR814914, KR814913, KR814912, KR814911, KR814910, KR814909, KR814908, KR814907, KR814906, KR814905, KR814904, KR814903, KR814902, KR814901, KR814900, KR814899, KR814898, KR814897, KR814896, KR814895, KR814894",59,Volynkina,Volynkina (2015)
"Volynkina A., Kotenev E.",Direct Submission," Laboratory on Natural Focal Infections, Stavropol State Research Anti-Plague Institute, Sovetskaya str. 13-15, Stavropol, Stavropol region 355017, Russian Federation",,2019,"MN004875, MN004874, MN004873, MN004872, MN004871, MN004870, MN004869, MN004868, MN004867, MN004866, MN004865, MN004864, MN004863, MN004862, MN004861, MN004860, MN004859, MN004858, MN004857, MN004856, MN004855",60,Volynkina,Volynkina (2019)
"Volynkina A., Kotenev E., Kolosov A.",Direct Submission," Laboratory on Natural Focal Infections, Stavropol State Research Anti-Plague Institute, Sovetskaya str. 13-15, Stavropol, Stavropol Region 355035, Russian Federation",,2019,"MN624960, MN624959, MN624958, MN624957, MN624956, MN624955, MN624954, MN624953, MN624952, MN624951, MN624950, MN624949, MN624948, MN624947, MN624946, MN624945, MN624944, MN624943, MN624942, MN624941, MN624940, MN624939, MN624938, MN624937, MN624936, MN624935, MN624934, MN624933, MN624932, MN624931, MN624930, MN624929, MN624928, MN624927, MN624926, MN624925, MN624924, MN624923, MN624922, MN624921, MN624920, MN624919, MN624918, MN624917, MN624916, MN624915, MN624914, MN624913, MN624912, MN624911, MN624910, MN624909, MN624908, MN624907, MN624906, MN624905, MN624904, MN624903, MN624902, MN624901, MN624900, MN624899, MN624898, MN624897, MN624896, MN624895, MN624894, MN624893, MN624892, MN624891, MN624890, MN624889, MN624888, MN624887, MN624886, MN624885, MN624884, MN624883, MN624882, MN624881, MN624880, MN624879, MN624878, MN624877, MN624876, MN624875, MN624874, MN624873, MN624872, MN624871, MN624870, MN624869, MN624868, MN624867, MN624866, MN624865, MN624864, MN624863, MN624862, MN624861, MN624860, MN624859, MN624858, MN624857, MN624856, MN624855, MN624854, MN624853, MN624852, MN624851, MN624850, MN624849, MN624848, MN624847, MN624846, MN624845, MN624844, MN624843, MN624842, MN624841, MN624840, MN624839, MN624838, MN624837, MN624836, MN624835, MN624834, MN624833, MN624832, MN624831, MN624830, MN624829, MN624828, MN624827, MN624826, MN624825, MN624824, MN624823, MN624822, MN624821, MN624820, MN624819, MN624818, MN624817, MN624816, MN624815, MN624814, MN624813, MN624812, MN624811, MN624810, MN624809, MN624808, MN624807, MN624806, MN624805, MN624804, MN624803, MN624802, MN624801, MN624800, MN624799, MN624798, MN624797, MN624796, MN624795, MN624794, MN624793, MN624792, MN624791, MN624790, MN624789, MN624788, MN624787, MN624786, MN624785, MN624784, MN624783, MN624782, MN624781, MN624780, MN624779, MN624778, MN624777, MN624776, MN624775, MN624774, MN624773, MN624772, MN624771, MN624770, MN624769, MN624768, MN624767, MN624766, MN624765, MN624764, MN624763, MN624762, MN624761, MN624760, MN624759, MN624758, MN624757, MN624756, MN624755, MN624754, MN624753, MN624752, MN624751, MN624750, MN624749, MN624748, MN624747, MN624746, MN624745, MN624744, MN624743, MN624742, MN624741, MN624740, MN624739, MN624738, MN624737, MN624736, MN624735, MN624734, MN624733, MN624732, MN624731, MN624730, MN624729, MN624728, MN624727, MN624726, MN624725, MN624724, MN624723, MN624722, MN624721, MN624720, MN624719, MN624718, MN624717, MN624716, MN624715, MN624714, MN624713, MN624712, MN624711, MN624710, MN624709, MN624708, MN624707, MN624706, MN624705, MN624704, MN624703, MN624702, MN624701, MN624700, MN624699, MN624698, MN624697, MN624696, MN624695, MN624694, MN624693, MN624692, MN624691, MN624690, MN624689, MN624688, MN624687, MN624686, MN624685, MN624684, MN624683, MN624682, MN624681, MN624680, MN624679, MN624678, MN624677, MN624676, MN624675, MN624674, MN624673, MN624672, MN624671, MN624670, MN624669, MN624668, MN624667, MN624666, MN624665, MN624664, MN624663, MN624662, MN624661, MN624660, MN624659, MN624658, MN624657, MN624656, MN624655, MN624654, MN624653, MN624652, MN624651, MN624650, MN624649, MN624648, MN624647, MN624646, MN624645, MN624644, MN624643, MN624642, MN624641, MN624640, MN624639, MN624638, MN624637, MN624636, MN624635, MN624634, MN624633, MN624632, MN624631, MN624630, MN624629, MN624628, MN624627, MN624626, MN624625, MN624624, MN624623, MN624622, MN624621, MN624620, MN624619, MN624618, MN624617, MN624616, MN624615, MN624614, MN624613, MN624612, MN624611, MN624610, MN624609, MN624608, MN624607, MN624606, MN624605, MN624604, MN624603, MN624602, MN624601, MN624600, MN624599, MN624598, MN624597, MN624596, MN624595, MN624594, MN624593, MN624592, MN624591, MN624590, MN624589, MN624588, MN624587, MN624586, MN624585, MN624584, MN624583, MN624582, MN624581, MN624580, MN624579, MN624578, MN624577, MN624576, MN624575, MN624574, MN624573, MN624572, MN624571, MN624570, MN624569, MN624568, MN624567, MN624566, MN624565, MN624564, MN624563, MN624562, MN624561, MN624560, MN624559, MN624558, MN624557, MN624556, MN624555, MN624554, MN624553, MN624552, MN624551, MN624550, MN624549, MN624548, MN624547, MN624546, MN624545, MN624544, MN624543, MN624542, MN624541, MN624540, MN624539, MN624538, MN624537, MN624536, MN624535, MN624534, MN624533, MN624532, MN624531, MN624530, MN624529, MN624528, MN624527, MN624526, MN624525, MN624524, MN624523, MN624522, MN624521, MN624520, MN624519, MN624518, MN624517, MN624516, MN624515, MN624514, MN624513, MN624512, MN624511, MN624510, MN624509, MN624508, MN624507, MN624506, MN624505, MN624504, MN624503, MN624502, MN624501, MN624500, MN624499, MN624498, MN624497, MN624496, MN624495, MN624494, MN624493, MN624492, MN624491, MN624490, MN624489, MN624488, MN624487, MN624486, MN624485, MN624484, MN624483, MN624482, MN624481, MN624480, MN624479, MN624478, MN624477, MN624476, MN624475, MN624474, MN624473, MN624472, MN624471, MN624470, MN624469, MN624468, MN624467, MN624466, MN624465, MN624464, MN624463, MN624462, MN624461, MN624460, MN624459, MN624458, MN624457, MN624456, MN624455, MN624454, MN624453, MN624452, MN624451, MN624450, MN624449, MN624448, MN624447, MN624446, MN624445, MN624444, MN624443, MN624442, MN624441, MN624440, MN624439, MN624438, MN624437, MN624436, MN624435, MN624434, MN624433, MN624432, MN624431, MN624430, MN624429, MN624428, MN624427, MN624426, MN624425, MN624424, MN624423, MN624422, MN624421, MN624420, MN624419, MN624418, MN624417, MN624416, MN624415, MN624414, MN624413, MN624412, MN624411, MN624410, MN624409, MN624408, MN624407, MN624406, MN624405, MN624404, MN624403, MN624402, MN624401, MN624400, MN624399, MN624398, MN624397, MN624396, MN624395, MN624394, MN624393, MN624392, MN624391, MN624390, MN624389, MN624388, MN624387, MN624386, MN624385, MN624384, MN624383, MN624382, MN624381, MN624380, MN624379, MN624378, MN624377, MN624376, MN624375, MN624374, MN624373, MN624372, MN624371, MN624370, MN624369, MN624368, MN624367, MN624366, MN624365, MN624364, MN624363, MN624362, MN624361, MN624360, MN624359, MN624358, MN624357, MN624356, MN624355, MN624354, MN624353, MN624352, MN624351, MN624350, MN624349, MN624348, MN624347, MN624346, MN624345, MN624344, MN624343, MN624342, MN624341, MN624340, MN624339, MN624338, MN624337, MN624336, MN624335, MN624334, MN624333, MN624332, MN624331, MN624330, MN624329, MN624328, MN624327, MN624326, MN624325, MN624324, MN624323, MN624322, MN624321, MN624320, MN624319, MN624318, MN624317, MN624316, MN624315, MN624314, MN624313, MN624312, MN624311, MN624310, MN624309, MN624308, MN624307, MN624306, MN624305, MN624304, MN624303, MN624302, MN624301, MN624300, MN624299, MN624298, MN624297, MN624296, MN624295, MN624294, MN624293, MN624292, MN624291, MN624290, MN624289, MN624288, MN624287, MN624286, MN624285, MN624284, MN624283, MN624282, MN624281, MN624280, MN624279, MN624278, MN624277, MN624276, MN624275, MN624274, MN624273, MN624272, MN624271, MN624270, MN624269, MN624268, MN624267",61,Volynkina,Volynkina (2019)
"Volynkina A., Pisarenko S.",Direct Submission," Laboratory of Natural-Focal Infections, Stavropol State Research Anti-Plague Institute, Sovetskaya str. 13-15, Stavropol, Stavropol region 355017, Russian Federation",,2015,"KR814893, KR814892, KR814891, KR814890, KR814889, KR814888, KR814887, KR814886, KR814885, KR814884, KR814883, KR814882, KR814881, KR814880, KR814879, KR814878, KR814877, KR814876, KR814875, KR814874, KR814873, KR814872, KR814871, KR814870, KR814869, KR814868, KR814867, KR814866, KR814865, KR814864, KR814863, KR814862, KR814861, KR814860, KR814859, KR814858, KR814857, KR814856, KR814855, KR814854, KR814853, KR814852, KR814851, KR814850, KR814849, KR814848, KR814847, KR814846, KR814845, KR814844, KR814843, KR814842, KR814841, KR814840, KR814839, KR814838, KR814837",62,Volynkina,Volynkina (2015)
"Wang J., Wang B., Xia X., Zhou J., Wang Y., Wang Y.",Direct Submission," Faculty of Life Science and Technology, Kunming University of Science and Technology, 727 Jingming South Road, Kunming, Yunnan 650000, China",,2023,"OQ633004, OQ633003, OQ633002",63,Wang,Wang (2023)
"Yadav P., Patil D., Shete A., Kokate P., Goyal P., Jadhav S., Sinha S., Zawar D., Sharma S., Kapil A., Sharma D., Upadhyay K., Mourya D.","Nosocomial infection of CCHF among health care workers in Rajasthan, India","BMC Infect. Dis. 16 (1), 624 (2016)",27809807,2016,"KT384403, KT384402, KT384401, KT384399, KT384398, KT384396, KT384394, KT384395, KT384393, KT384392, KT384391, KT384390, KT384389, KT384387, KT384386, KT384385, KT384384, KT384383",64,Yadav,"Yadav (2016, 27809807)"
"Yadav P., Shete A., Mourya D.",Direct Submission," Maximum Containment Laboratory, National Institute of Virology, Maximum Containment Laboratory, Pune, Maharashtra India, India",,2015,"KT384400, KT384397, KT384402, KT384401, KT384399, KT384398, KT384396",65,Yadav,Yadav (2015)
"Yadav P., Shete A., Mourya D.",Direct Submission," Maximum Containment Laboratory, National Institute of Virology, Pashan Sus Road, Pune, Maharashtra 411021, India",,2015,"KT384388, KT384382, KT384394, KT384395, KT384393, KT384392, KT384391, KT384390, KT384389, KT384387, KT384386, KT384385, KT384384, KT384383",66,Yadav,Yadav (2015)
"Zhang Y., Sun S., Dai X., Feng C., Meng W., Wang X.",Direct Submission," The Center for Disease Control and Prevention of Xinjiang Uygur Autonomous Region, Xinjiang Key Lab of Biological Resources and Genetic Engineering, College of Life Science and Technology, Xinjiang University, Urumuqi 830046, P.R. China",,2008,"EU715286, EU715285, EU715284, EU715283, EU715282, EU715281, EU715280, EU715279, EU715278, EU715277, EU715276, EU715275, EU715274, EU715273, EU715272, EU715271, EU715270, EU715269, EU715268, EU715267, EU715266, EU715265, EU715264",67,Zhang,Zhang (2008)
"Zhang Y., Sun S., Meng W., Muhetar R., Wang X., Ma J., Zhang F., Hu J., Dai X., Feng C., Hang C., Azati R., Tai X.",Direct Submission," Xinjiang Center for Disease Control and Prevention, Key Lab of Biological Resources and Genetic Engineering of Xinjiang, College of Life Science and Technology, Xinjiang University 830046, P.R. China",,2005,"DQ301505, DQ301504, DQ301503, DQ301502",68,Zhang,Zhang (2005)
"Zhang Y., Sun S., Meng W., Wang X., Ajati A., Dai X., Ma J., Zhang F., Zhu H., Feng C., Hang C., Xie Y.",Direct Submission," Xinjiang Center for Disease Control and Prevention, College of Life Science and Technology, Xinjiang University, Urumqi, Xinjiang 830002, China",,2005,DQ227496,69,Zhang,Zhang (2005)
"Abdiyeva K., Dmitrovsky A., Dobler G., Essbauer S., Frey S., Heinrich N., Hoelscher M., Kachiyeva Z., Montag J., Shapiyeva Z., Shin A., Tukhanova N., Turebekov N., Wagner E., Yegemberdiyeva R., Yeraliyeva L., Zhalmagambetova A., Zinner J.",Seroepidemiological and molecular investigations of infections with Crimean-Congo haemorrhagic fever virus in Kazakhstan,"121-127 (2019), Bundeswehr Institute of Microbiology, Germany, Int. J. Infect. Dis. 78, Muenchen 80937, Neuherbergstr. 11, Virology & Rickettsiology",30522982,"2018, 2019","MG974100, MG974101, MG974102, MG974103, MG974104",70,Abdiyeva,"Abdiyeva (2019, 30522982)"
"Abuova G., Aliyev D., Berdaliyeva F., Karan L., Nurmagambet S., Polukchi T., Pshenichnaya N., Sadyhova D.",Genotypes of the Congo-Crimean Hemorrhagic Fever Virus Occurring in the Turkestan Region,"Arch Clin Infect Dis 17 (6), Central Research Institute of Epidemiology, Department of molecular diagnostic and epidemiology, Moscow 111123, Novogireevskaya 3A, Russia, e129126 (2022)",,"2022, 2023","OQ190959, OQ190960, OQ190961, OQ190962, OQ190963, OQ190964, OQ190965, OQ190966, OQ190967, OQ190968, OQ190969",71,Abuova,Abuova (2023)
"Addo S., Agbodzi B., Ansah-owusu J., Asoala V., Baako B., Baidoo P., Bentil R., Diclaro J., Dunford J., Kumordjie S., Larbi J., Tawiah-mensah C., Wilson M., Yartey K., Yeboah C.",Molecular Identification of Crimean-Congo Haemorrhagic Fever Virus in Livestock Ticks in the Upper East Region of Ghana,"Accra, Ghana, Legon +233, NAMRU-3, P O Box LG 581, University of Ghana Noguchi Memorial Institute for Medical Research, University of Ghana-Legon, Unpublished",,2023,"OQ441060, OQ441061, OQ441062",72,Addo,Addo (2023)
"Ahmed A., Bertolotti-ciarlet A., Doms R., Filone C., Hoffmann C., Khodjaev S., Mcfalls J., Paragas J., Schmaljohn C., Shermukhamedova D., Stewart S.",Presence of broadly reactive and group-specific neutralizing epitopes on newly described isolates of Crimean-Congo hemorrhagic fever virus,"301C Johnson Pavilion 3610 Hamilton Walk, 3327-3336 (2005), J. Gen. Virol. 86 (PT 12), Microbiology, PA 19104, Philadelphia, USA, University of Pennsylvania",16298978,2005,"AY900141, AY900142, AY900143, AY900144, AY900145",73,Ahmed,"Ahmed (2005, 16298978)"
"Akyildiz G., Bente D.","Crimean-Congo Hemorrhagic Fever Virus in Tortoises and Hyalomma aegyptium Ticks in Thrace, Turkey: Potential of a Cryptic Transmission Cycle","301 University Blvd, Galveston, Microbiology & Immunology, TX 77555-610, USA, University of Texas Medical Branch, Unpublished",,2019,"MN864494, MN864495",74,Akyildiz,Akyildiz (2019)
"Akyildiz G., Bircan R., Kar S.","Collection and Screening for CCHFV of Hyalomma marginatum questing unfed adults in Thrace, Turkey","Degirmenalti Campus, Department of Biology, Namik Kemal University, Suleymanpasa 59100, Tekirdag, Turkey, Unpublished",,2019,"MN398288, MN398289, MN398290, MN398291, MN398292, MN398293, MN398294, MN398295, MN398296",75,Akyildiz,Akyildiz (2019)
"Alam M., Angez M., Khurshid A., Rana M., Sharif S., Shaukat S., Zaidi S.",Genetic analysis and epidemiology of Crimean Congo hemorrhagic fever viruses in Baluchistan province of Pakistan,"201 (2013), BMC Infect. Dis. 13, Chak Shahzad, Islamabad 44000, National Institute of Health-Pakistan, Pakistan, Park Road, Virology",23641865,2013,"KC869988, KC869989, KC869990, KC869991, KC869992, KC869993",76,Alam,"Alam (2013, 23641865)"
